
> ppthub@0.1.0 generate-embeddings /Users/ameureka/Desktop/mksaas-ai-ppt-blog
> tsx scripts/generate-embeddings.ts

[Embeddings] ✓ ppt_64420e79_3947: 商务汇报...
[Embeddings] ✓ ppt_cec527be_0b68: 励志商务风...
[Embeddings] ✓ ppt_0f9bc65e_1ee0: 古韵古风笔墨纸砚背景的道德讲堂PPT模板...
[Embeddings] ✓ ppt_eac59a47_78d6: 年终总结...
[Embeddings] ✓ ppt_389d88d7_d919: 商务汇报...
[Embeddings] ✓ ppt_6bde81ee_d5fd: 工作汇报总结...
[Embeddings] ✓ ppt_deb32c88_9a13: 蓝色商务...
[Embeddings] ✓ ppt_c4c9ef42_0e75: 蓝色商务...
[Embeddings] ✓ ppt_8f4e7111_ee7e: 年终总结...
[Embeddings] ✓ ppt_350eddc1_8614: 励志商务风...
[Embeddings] ✓ ppt_1f8c2f12_aade: 年终总结...
[Embeddings] ✓ ppt_a3824f57_a8c7: 新学期...
[Embeddings] ✓ ppt_48ecfc01_50d5: 蓝色商务...
[Embeddings] ✓ ppt_1f60b19f_ae49: 开学典礼...
[Embeddings] ✓ ppt_1023d113_46b2: 电商数据分析...
[Embeddings] ✓ ppt_bfbd743b_7795: 卡通可爱...
[Embeddings] ✓ ppt_1399607b_d8aa: 多元创意...
[Embeddings] ✓ ppt_94169391_20b3: 年终总结...
[Embeddings] ✓ ppt_16f6ab46_4bba: 空白演示...
[Embeddings] ✓ ppt_10c82dbf_7d01: 老师介绍...
[Embeddings] ✓ ppt_e583c3be_b1a8: 年终总结...
[Embeddings] ✓ ppt_4a814f66_631a: 年终总结...
[Embeddings] ✓ ppt_2605a18a_5123: 开学主题...
[Embeddings] ✓ ppt_faf6d504_57bb: 绿色清新竹子背景的“江南醉”中国风通用PPT模板...
[Embeddings] ✓ ppt_deaf7682_0a7f: 年终总结...
[Embeddings] ✓ ppt_68c224f9_34d3: 蓝色商务...
[Embeddings] ✓ ppt_15634ec4_5f9f: 三好学生竞选...
[Embeddings] ✓ ppt_838bd1ea_0148: 年终总结...
[Embeddings] ✓ ppt_d161e05e_06b0: 商务汇报...
[Embeddings] ✓ ppt_76441d04_7ff1: 商务汇报...
[Embeddings] ✓ ppt_c63dc8b1_fd93: 年终总结...
[Embeddings] ✓ ppt_10f520da_c9bd: 年终总结...
[Embeddings] ✓ ppt_73cbc168_b548: 蓝色商务...
